Designator,Mid X,Mid Y,Layer,Rotation
C1,12.1000,55.6000,Top,0.0
C2,7.8000,60.0000,Top,90.0
C3,15.3000,58.9000,Top,90.0
C4,10.4000,62.7000,Top,0.0
C5,15.4000,66.0000,Top,180.0
C6,14.9000,62.1000,Top,180.0
C7,16.4400,64.2000,Top,90.0
C8,43.0000,4.0000,Top,180.0
C9,37.5800,46.0000,Top,0.0
C10,34.6800,46.0000,Top,0.0
C11,39.2000,65.9000,Top,0.0
C12,38.3000,61.0000,Top,0.0
C13,36.3000,61.0000,Top,0.0
C14,23.9000,45.1500,Top,180.0
C15,20.9000,45.1500,Top,180.0
C16,41.6000,59.6000,Top,0.0
J1,3.6500,48.2000,Top,270.0
LED1,1.7500,56.7000,Top,0.0
LED2,1.7500,55.1500,Top,0.0
LED3,4.9500,56.7000,Top,0.0
Q1,43.0000,64.4000,Top,180.0
R1,9.9500,50.7500,Top,270.0
R2,10.4000,45.5000,Top,0.0
R3,14.6000,47.0500,Top,0.0
R4,14.6000,48.9500,Top,0.0
R5,43.0000,5.2000,Top,180.0
R6,46.9000,24.5000,Top,180.0
R7,13.2000,52.7500,Top,0.0
R8,13.2000,51.7000,Top,0.0
R9,14.2000,54.3000,Top,90.0
R10,9.4000,58.7000,Top,90.0
R11,7.4500,56.7000,Top,0.0
R12,15.3000,56.5000,Top,0.0
R13,41.6000,61.8000,Top,0.0
R14,41.6000,60.7000,Top,0.0
R15,4.9500,55.1500,Top,0.0
R16,7.4500,55.1500,Top,0.0
R17,35.8500,65.4500,Top,90.0
R18,14.4000,64.1700,Top,90.0
R19,45.6000,64.4000,Top,90.0
SW1,46.3000,18.2000,Top,90.0
SW2,46.3000,10.4000,Top,90.0
U1,25.0000,61.7500,Top,0.0
U2,25.0000,25.0000,Top,0.0
U3,22.3000,47.2000,Top,0.0
U4,12.1500,58.7500,Top,180.0
U5,11.7000,65.0000,Top,0.0
U6,38.4000,63.4000,Top,0.0
U7,11.5000,48.0000,Top,0.0
