Designator,Mid X,Mid Y,Layer,Rotation
C1,20.0000,6.0000,Top,0.0
C2,23.3000,6.0000,Top,0.0
C3,29.0000,11.5000,Top,0.0
C4,29.0000,15.0000,Top,0.0
C5,27.5000,3.0000,Top,0.0
C6,20.0000,1.2000,Top,0.0
C7,25.0000,1.2000,Top,0.0
C8,30.0000,1.2000,Top,0.0
C9,6.5000,13.0000,Top,0.0
D1,12.6000,11.0000,Top,0.0
D2,14.5000,6.0000,Top,0.0
D3,16.5000,17.5000,Top,0.0
F1,8.4000,6.0000,Top,0.0
J1,3.0000,7.4200,Top,0.0
J2,40.2000,22.0000,Top,90.0
L1,35.0000,6.0000,Top,0.0
LED1,32.5000,22.0000,Top,0.0
LED2,36.1000,22.0000,Top,0.0
R1,34.0000,11.5000,Top,90.0
R2,34.0000,15.0000,Top,90.0
R3,24.0000,11.5000,Top,90.0
R4,24.0000,15.0000,Top,90.0
R5,5.0000,22.0000,Top,0.0
R6,9.0000,22.0000,Top,0.0
R7,32.5000,19.5000,Top,90.0
R8,36.1000,19.5000,Top,90.0
SW1,26.5000,21.5000,Top,0.0
U1,48.5000,12.5000,Top,-90.0
U2,10.0000,17.5000,Top,0.0
U3,27.5000,6.0000,Top,0.0
